고유번호,업소명,대분류,중분류,개업일,상태
182,백악관,경기도,구리시,20180723,영업/정상
183,찬스,경기도,구리시,20180723,영업/정상
184,킹관광노래클럽,충남,천안시,20180720,영업/정상
185,세컨드,경기도,양주시,20180720,영업/정상
186,비밀노래방,경남,양산시,20180720,영업/정상
187,돌체노래방,부산,영도구,20180719,영업/정상
188,굿타임노래방,경남,양산시,20180719,영업/정상
189,명품노래빵,경기도,성남시,20180719,영업/정상
190,써니노래광장,인천,서구,20180717,영업/정상
191,럭셔리노래클럽,인천,서구,20180717,영업/정상
192,여우노래주점,경북,안동시,20180717,영업/정상
193,나비가요주점,경북,안동시,20180717,영업/정상
194,아테네,인천,연수구,20180716,영업/정상
195,백악관가요방,인천,미추홀구,20180716,영업/정상
196,힐타운노래광장,경기도,안산시,20180713,영업/정상
197,글래머노래빠,경기도,화성시,20180713,영업/정상
198,블랙스톤,제주,서귀포시,20180713,영업/정상
199,메이드,인천,부평구,20180713,영업/정상
200,시대스탠드빠,서울,동대문구,20180713,영업/정상
201,BM(비엠),경남,통영시,20180713,영업/정상
202,킹카노래짱,경기도,성남시,20180712,영업/정상
203,보그룸소주방,광주광역시,서구,20180711,영업/정상
204,도토리노래짱,경기도,김포시,20180710,영업/정상
205,무공해노래짱,경기도,김포시,20180710,영업/정상
206,빙고 노래클럽,충남,아산시,20180710,영업/정상
207,에스가요주점,전남,목포시,20180709,영업/정상
208,향남노래광장,경기도,화성시,20180706,영업/정상
209,아바노래바,인천,미추홀구,20180706,영업/정상
210,킹덤,경기도,양주시,20180706,영업/정상
211,아싸 유흥주점,전남,해남군,20180706,영업/정상
212,벨루가,전북,정읍시,20180706,영업/정상
213,해피노래클럽,충남,아산시,20180705,영업/정상
214,부킹,충남,서산시,20180705,영업/정상
215,M노래타운,경기도,동두천시,20180705,영업/정상
216,청춘라이브카페,강원도,삼척시,20180704,영업/정상
217,로마노래바,서울,영등포구,20180704,영업/정상
218,여천 나는가수다,전남,여수시,20180704,영업/정상
219,링코노래타운,인천,미추홀구,20180702,영업/정상
220,찬스노래광장,경기도,화성시,20180629,영업/정상
221,고래,서울,동작구,20180629,영업/정상
222,뉴홍콩,서울,송파구,20180629,영업/정상
223,방송국,경남,통영시,20180629,영업/정상
224,제네시스,경기도,양주시,20180629,영업/정상
225,킹콩뮤직타운,강원도,춘천시,20180628,영업/정상
226,버킹궁노래주점,경남,창원시,20180627,영업/정상
227,황진이 룸쌀롱,전북,익산시,20180627,영업/정상
228,초원가요주점,경북,문경시,20180627,영업/정상
229,화이트노래짱,경기도,김포시,20180626,영업/정상
230,오페라노래짱,경기도,김포시,20180626,영업/정상
231,다온비지니스클럽,경북,포항시,20180625,영업/정상
232,위너,부산,해운대구,20180622,영업/정상
233,아우라노래클럽,경기도,김포시,20180621,영업/정상
234,미녀노래짱,경기도,김포시,20180621,영업/정상
235,야수,경기도,김포시,20180621,영업/정상
236,홍콩,경기도,양주시,20180620,영업/정상
