발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2016,2016032409,주간,목,1,1,전남 목포시
2016,2016032220,야간,화,1,1,서울 도봉구
2016,2016032209,주간,화,1,1,인천 남구
2016,2016031619,야간,수,1,1,경북 경주시
2016,2016040204,야간,토,1,2,인천 남동구
2016,2016040117,주간,금,1,1,전북 임실군
2016,2016031620,야간,수,1,1,경기 파주시
2016,2016031411,주간,월,1,1,경기 성남시
2016,2016031411,주간,월,1,3,경남 밀양시
2016,2016032012,주간,일,1,1,전남 고흥군
2016,2016032001,야간,일,1,2,충북 괴산군
2016,2016032007,주간,일,1,2,서울 양천구
2016,2016031623,야간,수,1,1,전북 익산시
2016,2016031714,주간,목,1,4,전남 곡성군
2016,2016031722,야간,목,1,1,경기 수원시
2016,2016032221,야간,화,1,1,경기 포천시
2016,2016032401,야간,목,1,1,대전 유성구
2016,2016032208,주간,화,1,1,경북 경주시
2016,2016032206,주간,화,1,4,경기 성남시
2016,2016032504,야간,금,1,2,경기 화성시
2016,2016040302,야간,일,1,1,충남 서천군
2016,2016040216,주간,토,1,1,충북 충주시
2016,2016040211,주간,토,1,1,경남 진주시
2016,2016040122,야간,금,1,1,경기 평택시
2016,2016031019,야간,목,1,1,충남 보령시
2016,2016031415,주간,월,1,2,경기 포천시
2016,2016031817,주간,금,1,1,경남 거제시
2016,2016032311,주간,수,1,1,대전 서구
2016,2016032617,주간,토,1,1,경북 구미시
2016,2016032508,주간,금,1,1,경기 안산시
2016,2016032919,야간,화,1,1,전북 전주시
2016,2016033003,야간,수,1,4,충북 청주시
2016,2016040419,야간,월,1,1,경북 경주시
2016,2016040315,주간,일,1,2,강원 춘천시
2016,2016040118,야간,금,1,3,강원 원주시
2016,2016040221,야간,토,1,1,전북 군산시
2016,2016040215,주간,토,1,1,경북 경주시
2016,2016030905,야간,수,1,1,인천 남동구
2016,2016031606,주간,수,1,1,경기 안성시
2016,2016031613,주간,수,1,7,경북 경주시
2016,2016032002,야간,일,1,1,경기 파주시
2016,2016032305,야간,수,1,1,대구 수성구
2016,2016032119,야간,월,1,1,경남 김해시
2016,2016033121,야간,목,1,1,서울 동작구
2016,2016040409,주간,월,1,1,충남 부여군
2016,2016032912,주간,화,1,4,경남 진주시
2016,2016072805,야간,목,2,2,경북 포항시
2016,2016072614,주간,화,1,1,경기 파주시
2016,2016072707,주간,수,1,1,경기 평택시
2016,2016073110,주간,일,1,1,전북 익산시
2016,2016073020,야간,토,1,1,전남 순천시
2016,2016080315,주간,수,1,1,전남 함평군
2016,2016080212,주간,화,4,5,부산 남구
2016,2016081012,주간,수,1,2,전북 군산시
2016,2016080919,야간,화,1,1,경기 여주시
2016,2016081006,주간,수,1,1,부산 중구
2016,2016080714,주간,일,1,1,경기 파주시
2016,2016081319,야간,토,1,4,경북 구미시
2016,2016081111,주간,목,1,1,경기 안양시
2016,2016081200,야간,금,1,1,인천 계양구
2016,2016081609,주간,화,1,1,인천 강화군
2016,2016081502,야간,월,1,1,제주 제주시
2016,2016082114,주간,일,1,1,충남 예산군
2016,2016082120,야간,일,1,1,제주 서귀포시
2016,2016082015,주간,토,3,4,경남 고성군
2016,2016081820,야간,목,1,2,전남 해남군
2016,2016082222,야간,월,1,1,전남 해남군
2016,2016082303,야간,화,1,2,부산 동래구
2016,2016082620,야간,금,1,1,충남 논산시
2016,2016082800,야간,일,1,1,경북 김천시
2016,2016082708,주간,토,1,2,경북 경주시
2016,2016082619,야간,금,1,1,전남 해남군
2016,2016082812,주간,일,1,2,경북 안동시
2016,2016082819,야간,일,1,2,충북 음성군
2016,2016091013,주간,토,2,3,경기 평택시
2016,2016091112,주간,일,1,1,경북 상주시
2016,2016091314,주간,화,1,2,서울 강북구
2016,2016090814,주간,목,1,9,전북 정읍시
2016,2016071721,야간,일,1,1,강원 원주시
2016,2016071914,주간,화,1,2,경남 거창군
2016,2016072320,야간,토,1,1,전남 화순군
2016,2016072216,주간,금,1,2,경기 수원시
2016,2016072819,야간,목,1,1,서울 중랑구
2016,2016072715,주간,수,1,2,경기 수원시
2016,2016073114,주간,일,1,1,전남 함평군
2016,2016073114,주간,일,1,2,대구 달서구
2016,2016073020,야간,토,1,1,서울 동작구
2016,2016032810,주간,월,1,1,경기 남양주시
2016,2016040204,야간,토,1,1,서울 성동구
2016,2016040217,주간,토,1,1,전북 무주군
2016,2016040716,주간,목,1,1,전북 완주군
2016,2016030820,야간,화,1,1,대구 서구
2016,2016031605,야간,수,1,1,경기 안산시
2016,2016031618,야간,수,1,1,경기 고양시
2016,2016031512,주간,화,1,1,경남 의령군
2016,2016031520,야간,화,1,1,경북 경주시
2016,2016032103,야간,월,1,2,인천 연수구
2016,2016031802,야간,금,1,3,전남 여수시
2016,2016031820,야간,금,1,1,부산 남구
2016,2016031803,야간,금,1,1,충남 천안시
2016,2016031810,주간,금,1,1,경기 부천시
2016,2016032323,야간,수,1,1,강원 춘천시
2016,2016032321,야간,수,1,2,전남 여수시
2016,2016032209,주간,화,1,1,충남 논산시
2016,2016032119,야간,월,1,1,세종 세종
2016,2016032704,야간,일,1,1,광주 남구
2016,2016040301,야간,일,1,1,전남 목포시
2016,2016040215,주간,토,1,5,경기 남양주시
2016,2016040119,야간,금,1,1,경기 양주시
2016,2016040700,야간,목,1,1,전북 익산시
2016,2016031107,주간,금,1,5,경북 예천군
