징수년,징수시도,징수시군구,징수분류,징수금액
2016,경기도,포천시,취득세,73870427
2016,경기도,여주군,취득세,58142487
2016,경기도,연천군,취득세,16501616
2016,경기도,가평군,취득세,41474783
2016,경기도,양평군,취득세,64602344
2016,경기도,수원시,주민세,42926801
2016,경기도,성남시,주민세,43862670
2016,경기도,의정부시,주민세,4812564
2016,경기도,안양시,주민세,14643776
2016,경기도,부천시,주민세,14645827
2016,경기도,광명시,주민세,7071455
2016,경기도,평택시,주민세,24060967
2016,경기도,동두천시,주민세,1437428
2016,경기도,안산시,주민세,26904746
2016,경기도,고양시,주민세,13919466
2016,경기도,과천시,주민세,3738131
2016,경기도,구리시,주민세,2706083
2016,경기도,남양주시,주민세,6372531
2016,경기도,오산시,주민세,4262183
2016,경기도,시흥시,주민세,11606612
2016,경기도,군포시,주민세,6243543
2016,경기도,의왕시,주민세,4795035
2016,경기도,하남시,주민세,2453587
2016,경기도,용인시,주민세,33073351
2016,경기도,파주시,주민세,17621577
2016,경기도,이천시,주민세,14656936
2016,경기도,안성시,주민세,7629252
2016,경기도,김포시,주민세,7593915
2016,경기도,화성시,주민세,56628647
2016,경기도,광주시,주민세,5838451
2016,경기도,양주시,주민세,3724398
2016,경기도,포천시,주민세,4465710
2016,경기도,여주군,주민세,2714141
2016,경기도,연천군,주민세,566131
2016,경기도,가평군,주민세,1035610
2016,경기도,양평군,주민세,1156707
2016,경기도,수원시,지방소득세,319515298
2016,경기도,성남시,지방소득세,387615665
2016,경기도,의정부시,지방소득세,34792056
2016,경기도,안양시,지방소득세,106524553
2016,경기도,부천시,지방소득세,101241785
2016,경기도,광명시,지방소득세,51684855
2016,경기도,평택시,지방소득세,145456451
2016,경기도,동두천시,지방소득세,6967580
2016,경기도,안산시,지방소득세,143809907
2016,경기도,고양시,지방소득세,136446929
2016,경기도,과천시,지방소득세,31085134
2016,경기도,구리시,지방소득세,21177473
2016,경기도,남양주시,지방소득세,62901400
2016,경기도,오산시,지방소득세,29916285
2016,경기도,시흥시,지방소득세,87676791
2016,경기도,군포시,지방소득세,43091680
2016,경기도,의왕시,지방소득세,43321533
2016,경기도,하남시,지방소득세,32180712
2016,경기도,용인시,지방소득세,315165668
2016,경기도,파주시,지방소득세,90905661
2016,경기도,이천시,지방소득세,151561659
2016,경기도,안성시,지방소득세,49293301
2016,경기도,김포시,지방소득세,59686204
2016,경기도,화성시,지방소득세,407865583
2016,경기도,광주시,지방소득세,56200399
2016,경기도,양주시,지방소득세,26571206
2016,경기도,포천시,지방소득세,26567001
2016,경기도,여주군,지방소득세,18328701
2016,경기도,연천군,지방소득세,3705517
2016,경기도,가평군,지방소득세,11544598
2016,경기도,양평군,지방소득세,15618276
