범죄대분류,범죄중분류,도시,발생수,발생년도
강력범죄,방화,경기 안양,9,2016
절도범죄,절도범죄,경기 안양,"2,003",2016
폭력범죄,상해,경기 안양,458,2016
폭력범죄,폭행,경기 안양,"2,192",2016
폭력범죄,체포  감금,경기 안양,10,2016
폭력범죄,협박,경기 안양,202,2016
폭력범죄,약취  유인,경기 안양,3,2016
폭력범죄,폭력행위등,경기 안양,188,2016
폭력범죄,공갈,경기 안양,32,2016
폭력범죄,손괴,경기 안양,644,2016
지능범죄,직무유기,경기 안양,5,2016
지능범죄,직권남용,경기 안양,8,2016
지능범죄,증수뢰,경기 안양,3,2016
지능범죄,통화,경기 안양,20,2016
지능범죄,문서  인장,경기 안양,113,2016
지능범죄,유가증권인지,경기 안양,1,2016
지능범죄,사기,경기 안양,"2,208",2016
지능범죄,횡령,경기 안양,733,2016
지능범죄,배임,경기 안양,23,2016
풍속범죄,성풍속범죄,경기 안양,276,2016
풍속범죄,도박범죄,경기 안양,257,2016
특별경제범죄,특별경제범죄,경기 안양,746,2016
마약범죄,마약범죄,경기 안양,35,2016
보건범죄,보건범죄,경기 안양,113,2016
환경범죄,환경범죄,경기 안양,8,2016
교통범죄,교통범죄,경기 안양,"5,789",2016
노동범죄,노동범죄,경기 안양,359,2016
안보범죄,안보범죄,경기 안양,0,2016
선거범죄,선거범죄,경기 안양,5,2016
병역범죄,병역범죄,경기 안양,135,2016
기타범죄,기타범죄,경기 안양,"2,876",2016
강력범죄,살인기수,전북 전주,3,2016
강력범죄,살인미수등,전북 전주,7,2016
강력범죄,강도,전북 전주,12,2016
강력범죄,강간,전북 전주,62,2016
강력범죄,유사강간,전북 전주,7,2016
강력범죄,강제추행,전북 전주,165,2016
강력범죄,기타 강간  강제추행등,전북 전주,6,2016
강력범죄,방화,전북 전주,12,2016
절도범죄,절도범죄,전북 전주,"2,386",2016
폭력범죄,상해,전북 전주,499,2016
폭력범죄,폭행,전북 전주,"1,724",2016
폭력범죄,체포  감금,전북 전주,15,2016
폭력범죄,협박,전북 전주,131,2016
폭력범죄,약취  유인,전북 전주,4,2016
폭력범죄,폭력행위등,전북 전주,185,2016
폭력범죄,공갈,전북 전주,30,2016
폭력범죄,손괴,전북 전주,499,2016
지능범죄,직무유기,전북 전주,5,2016
지능범죄,직권남용,전북 전주,4,2016
지능범죄,증수뢰,전북 전주,5,2016
지능범죄,통화,전북 전주,3,2016
지능범죄,문서  인장,전북 전주,226,2016
지능범죄,유가증권인지,전북 전주,1,2016
지능범죄,사기,전북 전주,"2,916",2016
지능범죄,횡령,전북 전주,361,2016
지능범죄,배임,전북 전주,46,2016
풍속범죄,성풍속범죄,전북 전주,109,2016
