발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2014,2014030522,야간,수,1,3,경남,거제시
2014,2014030522,야간,수,2,4,충남,당진시
2014,2014030601,야간,목,2,2,전남,목포시
2014,2014030507,주간,수,1,1,경기,김포시
2014,2014030320,야간,월,1,1,경기,연천군
2014,2014030918,야간,일,1,1,충북,청주시
2014,2014030904,야간,일,1,1,경남,진주시
2014,2014032222,야간,토,1,1,대전,동구
2014,2014032107,주간,금,1,1,경기,남양주시
2014,2014031906,주간,수,1,1,대전,대덕구
2014,2014031916,주간,수,1,1,충남,당진시
2014,2014031914,주간,수,1,1,경기,양주시
2014,2014030710,주간,금,1,1,충남,당진시
2014,2014030800,야간,토,1,1,인천,서구
2014,2014030613,주간,목,1,1,서울,송파구
2014,2014030314,주간,월,1,13,제주,서귀포시
2014,2014031505,야간,토,2,2,경기,화성시
2014,2014031615,주간,일,1,1,경기,평택시
2014,2014031519,야간,토,1,1,전북,익산시
2014,2014031522,야간,토,1,4,경남,함안군
2014,2014031023,야간,월,1,1,충남,예산군
2014,2014031414,주간,금,1,1,경북,상주시
2014,2014031219,야간,수,1,1,전북,김제시
2014,2014031222,야간,수,1,1,강원,춘천시
2014,2014032317,주간,일,1,1,경북,구미시
2014,2014030706,주간,금,1,1,강원,동해시
2014,2014030921,야간,일,1,1,대전,서구
2014,2014031012,주간,월,1,1,경기,성남시
2014,2014031521,야간,토,1,1,부산,북구
2014,2014031520,야간,토,1,2,대구,달성군
2014,2014031710,주간,월,1,1,전남,해남군
2014,2014031410,주간,금,1,1,경남,거창군
2014,2014031709,주간,월,1,1,경북,상주시
2014,2014031514,주간,토,1,1,서울,성동구
2014,2014022500,야간,화,1,2,경남,김해시
2014,2014022621,야간,수,1,1,부산,연제구
2014,2014022613,주간,수,1,2,경기,용인시
2014,2014031002,야간,월,1,1,충남,홍성군
2014,2014031912,주간,수,1,1,전남,고흥군
2014,2014031917,주간,수,1,1,전북,완주군
2014,2014032007,주간,목,1,1,경기,화성시
2014,2014030505,야간,수,1,1,대전,동구
