행정구역별,연도별,연령별,총인구,총인구_남자,총인구_여자,내국인_남자,내국인_여자,총인구_외국인,외국인_남자,외국인_여자,외국인비율
경기 광명,2017,평균연령,40.2,39.1,41.2,39,41.1,0.2,0.1,0.1,0.005
경기 광명,2017,중위연령,41.3,40.2,42.3,40.1,42.2,0.2,0.1,0.1,0.0048
경기 평택,2017,합계,486077,252448,233629,236350,222835,26892,16098,10794,0.0553
경기 평택,2017,0~4세,22962,11655,11307,11332,10933,697,323,374,0.0304
경기 평택,2017,5~9세,24919,12813,12106,12646,11955,318,167,151,0.0128
경기 평택,2017,10~14세,23719,12130,11589,12045,11505,169,85,84,0.0071
경기 평택,2017,15~19세,27949,14673,13276,14469,13074,406,204,202,0.0145
경기 평택,2017,20~24세,31780,17236,14544,16071,13864,1845,1165,680,0.0581
경기 평택,2017,25~29세,34064,19339,14725,16599,13283,4182,2740,1442,0.1228
경기 평택,2017,30~34세,36605,20247,16358,17227,14670,4708,3020,1688,0.1286
경기 평택,2017,35~39세,43338,23635,19703,21179,18508,3651,2456,1195,0.0842
경기 평택,2017,40~44세,42288,22494,19794,20955,18949,2384,1539,845,0.0564
경기 평택,2017,45~49세,45340,23823,21517,22487,20410,2443,1336,1107,0.0539
경기 평택,2017,50~54세,39061,20618,18443,19475,17423,2163,1143,1020,0.0554
경기 평택,2017,55~59세,36154,18879,17275,18107,16470,1577,772,805,0.0436
경기 평택,2017,60~64세,24412,12267,12145,11583,11454,1375,684,691,0.0563
경기 평택,2017,65~69세,16577,7859,8718,7578,8462,537,281,256,0.0324
경기 평택,2017,70~74세,13107,5900,7207,5805,7090,212,95,117,0.0162
경기 평택,2017,75~79세,11943,4929,7014,4878,6944,121,51,70,0.0101
경기 평택,2017,80~84세,7464,2753,4711,2729,4663,72,24,48,0.0096
경기 평택,2017,85세이상,4395,1198,3197,1185,3178,32,13,19,0.0073
경기 평택,2017,85~89세,3136,877,2259,866,2247,23,11,12,0.0073
경기 평택,2017,90~94세,1002,253,749,251,743,8,2,6,0.008
경기 평택,2017,95~99세,224,59,165,59,164,1,0,1,0.0045
경기 평택,2017,100세이상,33,9,24,9,24,0,0,0,0
경기 평택,2017,15세미만,71600,36598,35002,36023,34393,1184,575,609,0.0165
경기 평택,2017,15~64세,360991,193211,167780,178152,158105,24734,15059,9675,0.0685
경기 평택,2017,65세이상,53486,22639,30847,22175,30337,974,464,510,0.0182
경기 평택,2017,평균연령,39.3,38.4,40.3,38.4,40.3,0,0,0,0
경기 평택,2017,중위연령,39.7,38.7,40.9,39.1,41,-0.5,-0.4,-0.1,-0.0126
경기 동두천,2017,합계,97373,48666,48707,46465,47039,3869,2201,1668,0.0397
경기 동두천,2017,0~4세,3714,1933,1781,1857,1747,110,76,34,0.0296
경기 동두천,2017,5~9세,4431,2227,2204,2202,2183,46,25,21,0.0104
경기 동두천,2017,10~14세,4434,2250,2184,2232,2168,34,18,16,0.0077
경기 동두천,2017,15~19세,5720,2890,2830,2869,2813,38,21,17,0.0066
경기 동두천,2017,20~24세,5780,3107,2673,2932,2549,299,175,124,0.0517
경기 동두천,2017,25~29세,5486,2884,2602,2553,2293,640,331,309,0.1167
경기 동두천,2017,30~34세,5784,2997,2787,2645,2457,682,352,330,0.1179
경기 동두천,2017,35~39세,6922,3543,3379,3261,3161,500,282,218,0.0722
경기 동두천,2017,40~44세,7562,3996,3566,3721,3414,427,275,152,0.0565
경기 동두천,2017,45~49세,8633,4604,4029,4361,3902,370,243,127,0.0429
경기 동두천,2017,50~54세,7775,4175,3600,3995,3493,287,180,107,0.0369
경기 동두천,2017,55~59세,8074,4106,3968,4014,3884,176,92,84,0.0218
