crimeRate,city_idx,total,out_per,total_m,total_w,out_m,out_w,suicide_rate,tax,death,injured,cctv,city_id,city_name,district_name,age,65세인구,유흥주점
0.005388764,68,262769,0.0457,133627,129142,8026,3994,25.5,196736569,58,82,1926,68,경북,경주,65세이상,47444,15368
0.005790608,69,139709,0.0167,69796,69913,1376,962,29.1,100440871,23,39,522,69,경북,김천,65세이상,27672,8349
0.006685991,70,167664,0.009,82775,84889,687,827,26.9,72713238,38,53,2241,70,경북,안동,65세이상,33551,14140
0.005480335,71,422237,0.0161,217689,204548,4028,2772,21.9,359352384,40,59,2611,71,경북,구미,65세이상,31149,21797
0.004708582,72,108950,0.0102,54801,54149,563,548,23.3,42794357,11,24,1632,72,경북,영주,65세이상,24214,9144
0.005714579,73,97295,0.0375,49542,47753,2770,880,34.1,61373483,23,27,6,73,경북,영천,65세이상,24040,5329
0.004422822,74,99484,0.0111,49042,50442,545,562,28.4,30876301,26,37,988,74,경북,상주,65세이상,26896,4810
0.006255563,76,279751,0.0334,141235,138516,5721,3632,17.9,143509859,29,36,1250,76,경북,경산,65세이상,36365,7296
0.005528949,77,1080133,0.015,550708,529425,10635,5591,22.4,686968846,75,103,1149,77,경남,창원,65세이상,115488,146762
0.007263515,78,142493,0.0304,73174,69319,3405,928,31.4,61128637,12,14,1153,78,경남,통영,65세이상,20255,24648
0.006171352,79,547854,0.0336,281600,266254,14087,4345,23.1,364316138,44,53,2524,79,경남,김해,65세이상,183294,49375
0.004761345,80,110683,0.021,54229,56454,1237,1092,22.5,59794569,18,31,968,80,경남,밀양,65세이상,24410,8080
0.006629545,81,271361,0.0522,146283,125078,10545,3633,33.3,170596083,26,35,1566,81,경남,거제,65세이상,20318,29403
