범죄대분류,범죄중분류,도시,발생수,발생년도
폭력범죄 ,상해,울산,1445,2013
폭력범죄 ,폭행,울산,3361,2013
폭력범죄 ,체포 감금,울산,30,2013
폭력범죄 ,협박,울산,104,2013
폭력범죄 ,약취 유인,울산,3,2013
폭력범죄 ,폭력행위등,울산,1026,2013
폭력범죄 ,공갈,울산,100,2013
폭력범죄 ,손괴,울산,1652,2013
지능범죄 ,직무유기,울산,18,2013
지능범죄 ,직권남용,울산,8,2013
지능범죄 ,증수뢰,울산,7,2013
지능범죄 ,통화,울산,44,2013
지능범죄 ,문서 인장,울산,318,2013
지능범죄 ,유가증권인지,울산,3,2013
지능범죄 ,사기,울산,5133,2013
지능범죄 ,횡령,울산,534,2013
지능범죄 ,배임,울산,103,2013
풍속범죄 ,성풍속범죄,울산,324,2013
풍속범죄 ,도박범죄,울산,158,2013
특별경제범죄 ,특별경제범죄 ,울산,1350,2013
마약범죄,마약범죄,울산,41,2013
보건범죄,보건범죄,울산,316,2013
환경범죄,환경범죄,울산,51,2013
교통범죄,교통범죄,울산,13949,2013
노동범죄,노동범죄,울산,47,2013
안보범죄,안보범죄,울산,1,2013
선거범죄,선거범죄,울산,14,2013
병역범죄,병역범죄,울산,492,2013
기타범죄,기타범죄,울산,3384,2013
강력범죄 ,살인기수,경기 부천,6,2013
강력범죄 ,살인미수등,경기 부천,9,2013
강력범죄 ,강도,경기 부천,36,2013
강력범죄 ,강간,경기 부천,99,2013
강력범죄 ,유사강간,경기 부천,4,2013
강력범죄 ,강제추행,경기 부천,305,2013
강력범죄 ,기타 강간 강제추행등,경기 부천,27,2013
강력범죄 ,방화,경기 부천,25,2013
절도범죄,절도,경기 부천,6881,2013
폭력범죄 ,상해,경기 부천,613,2013
폭력범죄 ,폭행,경기 부천,2906,2013
폭력범죄 ,체포 감금,경기 부천,16,2013
폭력범죄 ,협박,경기 부천,62,2013
폭력범죄 ,약취 유인,경기 부천,2,2013
폭력범죄 ,폭력행위등,경기 부천,674,2013
폭력범죄 ,공갈,경기 부천,73,2013
폭력범죄 ,손괴,경기 부천,1141,2013
지능범죄 ,직무유기,경기 부천,4,2013
지능범죄 ,직권남용,경기 부천,3,2013
지능범죄 ,증수뢰,경기 부천,2,2013
지능범죄 ,통화,경기 부천,70,2013
지능범죄 ,문서 인장,경기 부천,276,2013
지능범죄 ,유가증권인지,경기 부천,9,2013
지능범죄 ,사기,경기 부천,5133,2013
지능범죄 ,횡령,경기 부천,794,2013
지능범죄 ,배임,경기 부천,65,2013
풍속범죄 ,성풍속범죄,경기 부천,428,2013
풍속범죄 ,도박범죄,경기 부천,123,2013
특별경제범죄 ,특별경제범죄 ,경기 부천,1494,2013
마약범죄,마약범죄,경기 부천,44,2013
보건범죄,보건범죄,경기 부천,176,2013
환경범죄,환경범죄,경기 부천,6,2013
교통범죄,교통범죄,경기 부천,10241,2013
노동범죄,노동범죄,경기 부천,56,2013
안보범죄,안보범죄,경기 부천,6,2013
선거범죄,선거범죄,경기 부천,2,2013
병역범죄,병역범죄,경기 부천,639,2013
기타범죄,기타범죄,경기 부천,3346,2013
강력범죄 ,살인기수,경기 수원,5,2013
강력범죄 ,살인미수등,경기 수원,9,2013
강력범죄 ,강도,경기 수원,40,2013
강력범죄 ,강간,경기 수원,144,2013
강력범죄 ,유사강간,경기 수원,2,2013
강력범죄 ,강제추행,경기 수원,432,2013
강력범죄 ,기타 강간 강제추행등,경기 수원,31,2013
강력범죄 ,방화,경기 수원,40,2013
절도범죄,절도,경기 수원,6642,2013
폭력범죄 ,상해,경기 수원,1069,2013
폭력범죄 ,폭행,경기 수원,3160,2013
폭력범죄 ,체포 감금,경기 수원,35,2013
폭력범죄 ,협박,경기 수원,104,2013
폭력범죄 ,약취 유인,경기 수원,3,2013
폭력범죄 ,폭력행위등,경기 수원,1155,2013
폭력범죄 ,공갈,경기 수원,101,2013
폭력범죄 ,손괴,경기 수원,1428,2013
지능범죄 ,직무유기,경기 수원,17,2013
지능범죄 ,직권남용,경기 수원,5,2013
지능범죄 ,증수뢰,경기 수원,5,2013
지능범죄 ,통화,경기 수원,84,2013
지능범죄 ,문서 인장,경기 수원,336,2013
지능범죄 ,유가증권인지,경기 수원,7,2013
지능범죄 ,사기,경기 수원,5152,2013
지능범죄 ,횡령,경기 수원,815,2013
지능범죄 ,배임,경기 수원,75,2013
풍속범죄 ,성풍속범죄,경기 수원,385,2013
풍속범죄 ,도박범죄,경기 수원,147,2013
특별경제범죄 ,특별경제범죄 ,경기 수원,1611,2013
마약범죄,마약범죄,경기 수원,67,2013
보건범죄,보건범죄,경기 수원,802,2013
환경범죄,환경범죄,경기 수원,15,2013
교통범죄,교통범죄,경기 수원,11169,2013
노동범죄,노동범죄,경기 수원,26,2013
안보범죄,안보범죄,경기 수원,1,2013
선거범죄,선거범죄,경기 수원,6,2013
병역범죄,병역범죄,경기 수원,719,2013
기타범죄,기타범죄,경기 수원,3605,2013
강력범죄 ,살인기수,경기 성남,3,2013
강력범죄 ,살인미수등,경기 성남,4,2013
강력범죄 ,강도,경기 성남,33,2013
강력범죄 ,강간,경기 성남,76,2013
강력범죄 ,유사강간,경기 성남,4,2013
강력범죄 ,강제추행,경기 성남,278,2013
강력범죄 ,기타 강간 강제추행등,경기 성남,22,2013
강력범죄 ,방화,경기 성남,37,2013
절도범죄,절도,경기 성남,5028,2013
폭력범죄 ,상해,경기 성남,959,2013
폭력범죄 ,폭행,경기 성남,2449,2013
폭력범죄 ,체포 감금,경기 성남,16,2013
폭력범죄 ,협박,경기 성남,100,2013
폭력범죄 ,약취 유인,경기 성남,7,2013
폭력범죄 ,폭력행위등,경기 성남,691,2013
폭력범죄 ,공갈,경기 성남,98,2013
폭력범죄 ,손괴,경기 성남,1079,2013
지능범죄 ,직무유기,경기 성남,6,2013
지능범죄 ,직권남용,경기 성남,3,2013
지능범죄 ,증수뢰,경기 성남,5,2013
지능범죄 ,통화,경기 성남,88,2013
지능범죄 ,문서 인장,경기 성남,246,2013
지능범죄 ,유가증권인지,경기 성남,6,2013
지능범죄 ,사기,경기 성남,4770,2013
지능범죄 ,횡령,경기 성남,825,2013
지능범죄 ,배임,경기 성남,80,2013
풍속범죄 ,성풍속범죄,경기 성남,406,2013
풍속범죄 ,도박범죄,경기 성남,130,2013
특별경제범죄 ,특별경제범죄 ,경기 성남,1615,2013
마약범죄,마약범죄,경기 성남,103,2013
보건범죄,보건범죄,경기 성남,281,2013
환경범죄,환경범죄,경기 성남,10,2013
교통범죄,교통범죄,경기 성남,8789,2013
노동범죄,노동범죄,경기 성남,3,2013
안보범죄,안보범죄,경기 성남,4,2013
선거범죄,선거범죄,경기 성남,16,2013
병역범죄,병역범죄,경기 성남,469,2013
기타범죄,기타범죄,경기 성남,2816,2013
강력범죄 ,살인기수,전북 전주,2,2013
강력범죄 ,살인미수등,전북 전주,12,2013
강력범죄 ,강도,전북 전주,13,2013
강력범죄 ,강간,전북 전주,74,2013
강력범죄 ,유사강간,전북 전주,0,2013
강력범죄 ,강제추행,전북 전주,174,2013
강력범죄 ,기타 강간 강제추행등,전북 전주,46,2013
강력범죄 ,방화,전북 전주,20,2013
절도범죄,절도,전북 전주,4222,2013
폭력범죄 ,상해,전북 전주,468,2013
폭력범죄 ,폭행,전북 전주,1597,2013
폭력범죄 ,체포 감금,전북 전주,8,2013
폭력범죄 ,협박,전북 전주,42,2013
폭력범죄 ,약취 유인,전북 전주,1,2013
폭력범죄 ,폭력행위등,전북 전주,444,2013
폭력범죄 ,공갈,전북 전주,51,2013
폭력범죄 ,손괴,전북 전주,557,2013
지능범죄 ,직무유기,전북 전주,6,2013
지능범죄 ,직권남용,전북 전주,2,2013
지능범죄 ,증수뢰,전북 전주,4,2013
지능범죄 ,통화,전북 전주,26,2013
지능범죄 ,문서 인장,전북 전주,178,2013
지능범죄 ,유가증권인지,전북 전주,5,2013
지능범죄 ,사기,전북 전주,3107,2013
지능범죄 ,횡령,전북 전주,290,2013
지능범죄 ,배임,전북 전주,44,2013
풍속범죄 ,성풍속범죄,전북 전주,308,2013
풍속범죄 ,도박범죄,전북 전주,83,2013
특별경제범죄 ,특별경제범죄 ,전북 전주,492,2013
마약범죄,마약범죄,전북 전주,15,2013
보건범죄,보건범죄,전북 전주,136,2013
환경범죄,환경범죄,전북 전주,3,2013
교통범죄,교통범죄,전북 전주,7403,2013
노동범죄,노동범죄,전북 전주,17,2013
안보범죄,안보범죄,전북 전주,4,2013
선거범죄,선거범죄,전북 전주,5,2013
병역범죄,병역범죄,전북 전주,203,2013
기타범죄,기타범죄,전북 전주,1965,2013
강력범죄 ,살인기수,경기 안양,3,2013
강력범죄 ,살인미수등,경기 안양,5,2013
강력범죄 ,강도,경기 안양,9,2013
강력범죄 ,강간,경기 안양,64,2013
강력범죄 ,유사강간,경기 안양,1,2013
강력범죄 ,강제추행,경기 안양,173,2013
강력범죄 ,기타 강간 강제추행등,경기 안양,10,2013
강력범죄 ,방화,경기 안양,14,2013
절도범죄,절도,경기 안양,2464,2013
폭력범죄 ,상해,경기 안양,591,2013
폭력범죄 ,폭행,경기 안양,1628,2013
폭력범죄 ,체포 감금,경기 안양,6,2013
폭력범죄 ,협박,경기 안양,34,2013
폭력범죄 ,약취 유인,경기 안양,6,2013
폭력범죄 ,폭력행위등,경기 안양,505,2013
폭력범죄 ,공갈,경기 안양,29,2013
폭력범죄 ,손괴,경기 안양,728,2013
지능범죄 ,직무유기,경기 안양,5,2013
지능범죄 ,직권남용,경기 안양,1,2013
지능범죄 ,증수뢰,경기 안양,4,2013
지능범죄 ,통화,경기 안양,53,2013
지능범죄 ,문서 인장,경기 안양,178,2013
지능범죄 ,유가증권인지,경기 안양,5,2013
지능범죄 ,사기,경기 안양,2323,2013
지능범죄 ,횡령,경기 안양,358,2013
지능범죄 ,배임,경기 안양,60,2013
풍속범죄 ,성풍속범죄,경기 안양,392,2013
풍속범죄 ,도박범죄,경기 안양,38,2013
특별경제범죄 ,특별경제범죄 ,경기 안양,761,2013
마약범죄,마약범죄,경기 안양,23,2013
보건범죄,보건범죄,경기 안양,100,2013
환경범죄,환경범죄,경기 안양,1,2013
교통범죄,교통범죄,경기 안양,6372,2013
노동범죄,노동범죄,경기 안양,14,2013
안보범죄,안보범죄,경기 안양,0,2013
선거범죄,선거범죄,경기 안양,4,2013
병역범죄,병역범죄,경기 안양,362,2013
기타범죄,기타범죄,경기 안양,1572,2013
강력범죄 ,살인기수,충북 청주,3,2013
강력범죄 ,살인미수등,충북 청주,10,2013
강력범죄 ,강도,충북 청주,34,2013
강력범죄 ,강간,충북 청주,80,2013
